Original Sentence,Causal Text,Normalized Causal,Relation,Effect Text,Normalized Effect,Count
"But because saline deposits are heterogeneously distributed ( Ceuppens et al ., 1997 ) , further and longer-term research on the potential interaction between AWD irrigation and salinity should be undertaken .",saline deposits are distributed,saline deposit are distributed,PROMOTE,longer-term research potential interaction AWD irrigation salinity be undertaken,research interaction awd irrigation salinity be undertaken,1
"In the fourth season , straw incorporation followed by fertilizer application increased the recovery of fertilizer N to 0.43 kg N kg N−1 across management systems .",straw incorporation followed fertilizer application,incorporation followed fertilizer application,PROMOTE,recovery fertilizer N,recovery fertilizer n,1
"While this is advantageous for resource-poor farmers unable to afford fertilizer K , we suggest that straw incorporation in double-cropped systems will help to offset losses , thereby prolonging depletion over longer periods of time , thus improving the long-term sustainability of rice cropping .",straw incorporation systems help offset losses longer periods,incorporation system help offset loss longer period,PROMOTE,long-term sustainability rice cropping,sustainability rice cropping,1
The organization of input and credit provision by farmer organizations results in a minimum volume of rice being sold in order to repay loans .,organization input credit provision farmer organizations,organization input credit provision farmer organization,PROMOTE,minimum rice being sold order repay loans,rice being sold order repay loan,1
Investment in physical market infrastructure could lead to the emergence of larger traders .,Investment physical market infrastructure,investment market infrastructure,PROMOTE,emergence larger traders,emergence larger trader,1
The quality upgrading of rice might create opportunities for the development of a certain degree of coordination over the value chain .,quality upgrading rice,quality upgrading rice,PROMOTE,development certain coordination value chain,development coordination value chain,1
"While the organization of credit provision through GIEs facilitates farmers ’ access to credit , the monopoly of the agricultural bank , and of the state-run supplier of fertilizer and seed , along with the associated bureaucracy , results in an inefficient provision of inputs .",organization credit provision GIEs,organization credit provision gy,PROMOTE,farmers access credit,farmer access credit,1
The quality upgrading of rice might create opportunities for the development of a certain degree of coordination over the value chain .,quality upgrading rice,quality upgrading rice,PROMOTE,opportunities development certain coordination,opportunity development coordination,1
"Investment in transport infrastructure could reduce the cost for small traders to bring rice to the mills , thereby increasing the volumes of adequately processed rice .",Investment transport infrastructure,investment transport infrastructure,INHIBIT,traders bring rice mills,trader bring rice mill,1
"However , the recent price volatility and concomitant business risk since the food crisis in 2008 have led some Senegalese importers to begin gravitating toward SRV rice ( Demont and Rizzotto , 2012 ) .",concomitant business risk,concomitant business risk,PROMOTE,Senegalese importers begin gravitating,importer begin gravitating,1
"Farmer organizations do not negotiate marketing credit which would allow them to collect , transform and store all surplus rice production and advance some of the total sales revenue to farmers .",Farmer organizations do negotiate marketing credit,farmer organization do negotiate marketing credit,INHIBIT,store surplus rice advance total sales revenue,store rice advance sale revenue,1
"Thirdly , tooroɓe considered that because Qur’anic students worked for the Muslim cleric alongside their studies , this education also transmitted skills for professions in trade , agriculture , and as clerics or in the religious economy .",Qur'anic students worked Muslim cleric,student worked muslim,PROMOTE,education transmitted skills professions trade,education transmitted skill profession trade,1
"For instance , evidence suggests that Qur’anic schools run by Senegal ’s renowned Suﬁ orders appeal to parents because of their connections to transnational trade networks ( Auriol and Demonsant , 2012 ; Babou , 2002 ) .",connections transnational trade networks,connection trade network,PROMOTE,Qur'anic schools run Senegal renowned Sufi orders,school run senegal renowned order,1
"Based on this deﬁcit model , Senegal ’s national migration policy includes many projects which focus on raising awareness about the risks of irregular migration , and creating small-scale vocational income-generation opportunities for youth .",Senegal national migration policy,senegal migration policy,PROMOTE,small-scale vocational income-generation opportunities youth,income-generation opportunity youth,1
"To clarify , a large proportion of the projects en - visaged to deliver Senegal ’s national migration policy involve raising awareness about the risks of irregular migration , but these messages mainly refer to the use of the route across the Sahara and Mediterra - nean .",projects visaged deliver national migration policy involve,project visaged deliver migration policy involve,PROMOTE,awareness risks irregular migration,awareness risk migration,1
"] As a result of this situation and to ﬁnd better living conditions , people are tempted to pursue the ad - venture to richer countries , where other Senegalese have , by the same route , been able to support their families and invest in real estate or commerce [ my translation from French ] .",find living people are tempted pursue ad venture richer countries Senegalese have same route,living people are tempted pursue ad venture richer country have route,PROMOTE,find living people are tempted pursue ad venture richer countries Senegalese have same route,living people are tempted pursue ad venture richer country have route,1
"This perception among parents echoed the broader trend docu - mented in many parts of the world whereby migrants are over-qualiﬁed for their jobs , because school diplomas from poorer countries do not necessarily translate into high-skilled and well-paid employment .",school diplomas countries do translate high-skilled well-paid employment,school diploma country do translate employment,INHIBIT,perception parents echoed broader trend docu mented,perception parent echoed broader trend docu mented,1
"Because such families were perceived to possess exceptional quantities of baraka , he could request large sums of money in return for blessings and healing .",such families were perceived possess exceptional quantities baraka,family were perceived posse quantity baraka,PROMOTE,request sums money return blessings healing,request sum money return blessing healing,1
"In contrast , the data presented here show that youth ’s aspirations to mi - grate , and their expectations of success through working in manual labour overseas , combined with low evaluations of the economic utility of secondary school diplomas or Senegalese university degrees , result in limited incentives to pursue secondary state schooling .",youth aspirations grate expectations success working manual labour combined evaluations economic utility,youth aspiration grate expectation success working labour combined evaluation utility,PROMOTE,incentives pursue secondary schooling,incentive pursue schooling,1
"It is shown in the literature that people tend to invest less in education due to the perspective of future migration ( Mckenzie and Rapoport , 2011 ) and more speci ( cid :133 ) cally illegal migrants have a lower incentive to acquire human capital due to a higher risk of apprehension ( Chiswick , 1999 ) .",perspective migration more speci cid illegal migrants,perspective migration more speci cid migrant,INHIBIT,people tend invest education,people tend invest education,1
"However , because moving is not always cyclical , but often sporadic or episodic , I prefer to use the expression ' turnaround migration ' to describe going to the city and sometimes coming back .",moving is cyclical sporadic episodic prefer,moving is prefer,PROMOTE,moving is cyclical sporadic episodic prefer,moving is prefer,1
"Thirdly , because land is inalienable , and property rights are secure , persons who go away can recover their rice fields when they come back .",land is inalienable property rights are secure persons go recover rice fields come,land is property right are person go recover rice field come,PROMOTE,land is inalienable property rights are secure persons go recover rice fields come,land is property right are person go recover rice field come,1
"Because Fatiya is a scant 5 km from the town of Bignona , with its large market , the women sell their vegetables locally , making a significant profit .",is scant town Bignona market,is town bignona market,PROMOTE,women sell vegetables making profit,woman sell vegetable making profit,1
"Better transport facilities , more diverse crops , wider access to fertiliser , improved seed , small and workable irrigation schemes and dams , more opportunities to engage in village-centred crafts , improved health and nutrition-any of these efforts would certainly make a difference .",wider access fertiliser,wider access fertiliser,PROMOTE,seed workable irrigation schemes,seed irrigation scheme,1
"Better transport facilities , more diverse crops , wider access to fertiliser , improved seed , small and workable irrigation schemes and dams , more opportunities to engage in village-centred crafts , improved health and nutrition-any of these efforts would certainly make a difference .",wider access fertiliser,wider access fertiliser,PROMOTE,more opportunities engage village-centred crafts,more opportunity engage craft,1
"But because trading firms in The Gambia could pay a better price for a product that was there exempted from export duties to Europe , paying in cash rather than credit , and offering a wider gamut of cheaper goods , many Jola began to travel to The Gambia to sell their latex direct .",trading firms pay product,trading firm pay product,PROMOTE,many began travel sell latex direct,began travel sell latex direct,1
women from less privileged families were less able to challenge the intersecting constructions of gen - der and status group identity which limited their capacity to resist undesired marriages or make economic returns on their school diplomas .,der group identity,der group identity,INHIBIT,capacity resist undesired marriages make economic returns school diplomas,capacity resist marriage make return school diploma,1
"Capital and categories of diﬀerence : how class , gender and descent-based inequalities complicate youth ’s trajectories The challenges African youth face in obtaining education and work can be understood using Pierre Bourdieu ’s theory of capital , or scarce goods and resources , which explains how and why certain individuals access ( or fail to access ) opportunities , power and possibilities for social advancement .",class gender descent-based inequalities,class gender inequality,PROMOTE,youth trajectories challenges African youth face obtaining education work,youth trajectory challenge african youth face obtaining education work,1
"Rather , I suggest that the cases of tooroɗo women in Medina Diallob é are of interest to devel - opment professionals because , even though they belonged to the dominant status group , they faced distinctive constraints because their descent-based identity intersected with patriarchal construc - tions of gender .",descent-based identity intersected patriarchal construc,identity intersected construc,INHIBIT,belonged dominant group faced distinctive,belonged group faced,1
"But rather , you see , Fatou will be a hairdresser in the modern sense , because not only will she be a hairdresser who knows how to braid women and make money from it , she ’ll be the future boss of her own business !",be hairdresser knows braid women make money be boss own business,be hairdresser know braid woman make money be bos business,PROMOTE,see be hairdresser modern sense,see be hairdresser sense,1
"Similarly , despite desperately wanting ﬁnancial independence , Coumba refused work in a hair salon because of the risks of dishonour and supernatural danger .",risks dishonour supernatural danger,risk dishonour danger,PROMOTE,wanting financial independence refused work hair salon,wanting independence refused work hair salon,1
"Senegal ’s low labour prod uct iv ity is caused by an unchanged employment rate in agriculture coupled with low techno logic al improvement ( Seck 2016 , Shaw 2014 ) .",unchanged employment agriculture coupled techno logic al,employment agriculture coupled techno,PROMOTE,labour prod uct iv ity,labour prod uct ity,1
"Inclusive policies and more targeted investments in agricultural and rural development , leading to rural transformation , should be further strengthened to promote more and better opportunities for the younger generations , while at the same time helping to end rural poverty in Senegal .",Inclusive policies more targeted investments agricultural rural development leading rural transformation,policy more investment development leading transformation,PROMOTE,more opportunities younger,more opportunity younger,1
Low productivity growth in this sector combined with an unbalanced labour market has led to a wider economic stagnation of the rural economy .,productivity growth combined unbalanced labour market,productivity growth combined labour market,INHIBIT,wider economic stagnation rural economy,wider stagnation economy,1
"Improving Enabling Environment for Productive Use of Remittances by Female Farmers i. Reduce the cost of remittances to create an enabling environment for women to mobilize remittances for productive purposes , including more investments in agriculture or small businesses and savings through development of money management skills ( Dhakal and Maharjan 2018 ) .",enabling environment women mobilize remittances productive purposes including more investments agriculture businesses savings,enabling environment woman mobilize remittance productive purpose including more investment agriculture business saving,PROMOTE,women mobilize remittances productive purposes including more investments agriculture businesses savings development,woman mobilize remittance productive purpose including more investment agriculture business saving development,2
"Therefore , in an environment with low employment rates for both men and women and large extended families , the migration of male family members is less likely to lead to significant changes in women ’s employment and empowerment , as other family members can step in to do the work of the migrant man or to make decisions in his absence .",migration male family members,migration family member,PROMOTE,women employment empowerment,woman employment empowerment,2
Migration of household members not followed by remittance transfers is likely to increase household food insecurity .,Migration household members followed remittance transfers,migration household member followed remittance transfer,PROMOTE,household food insecurity,household food insecurity,1
"These statistics suggest that women in nonmigrant households have a more diversified portfolio of income-generating activities , perhaps because they can - not rely on remittances to cushion the negative effects of poor harvests .",rely remittances cushion negative harvests,rely remittance cushion harvest,INHIBIT,women nonmigrant households have more diversified portfolio income-generating,woman household have portfolio,1
Food security : Migration of household members who do not send remittances is likely to increase household food insecurity .,Migration household members,migration household member,PROMOTE,household food insecurity,household food insecurity,1
Reducing the Cost of Remittances i. Reduce the cost of remittances to positively affect disposable household income and improve incentives to remit more ( World Bank 2005 ) .,incentives remit more,incentive remit more,PROMOTE,more World Bank,more world bank,1
"Improving Enabling Environment for Productive Use of Remittances by Female Farmers i. Reduce the cost of remittances to create an enabling environment for women to mobilize remittances for productive purposes , including more investments in agriculture or small businesses and savings through development of money management skills ( Dhakal and Maharjan 2018 ) .",enabling environment women mobilize remittances productive purposes including more investments agriculture businesses savings,enabling environment woman mobilize remittance productive purpose including more investment agriculture business saving,PROMOTE,women mobilize remittances productive purposes including more investments agriculture businesses savings development,woman mobilize remittance productive purpose including more investment agriculture business saving development,2
"Therefore , in an environment with low employment rates for both men and women and large extended families , the migration of male family members is less likely to lead to significant changes in women ’s employment and empowerment , as other family members can step in to do the work of the migrant man or to make decisions in his absence .",migration male family members,migration family member,PROMOTE,women employment empowerment,woman employment empowerment,2
"If migration is an investment decision whereby individuals incur costs to generate higher incomes , youths have lower costs in moving and have higher lifetime expected returns , not only because of their longer life expectancy compared to older people but also because the opportunity cost of young people in the place of origin can be lower due to , for example , high youth unemployment rates .",longer life expectancy,longer life expectancy,PROMOTE,lifetime expected returns,lifetime expected return,1
"14 Juan and Kim ( 1970 ) ( as explained in Bilsborrow , Oberai , and Standing [ 1984 ] ) classify these persons as nonmigrants because they report the same place of residence at all points of time included in the survey .",report same place residence points included survey,report place residence point included survey,PROMOTE,explained Standing classify persons,explained standing classify person,1
Access to primary schools from the childhood residence decreases the likelihood of migrating to urban areas for both men and women .,Access primary schools childhood residence,access school childhood residence,INHIBIT,likelihood migrating urban men women,likelihood migrating men woman,1
"If migration is an investment decision whereby individuals incur costs to generate higher incomes , youths have lower costs in moving and have higher lifetime expected returns , not only because of their longer life expectancy compared to older people but also because the opportunity cost of young people in the place of origin can be lower due to , for example , high youth unemployment rates .",example youth unemployment,example youth unemployment,INHIBIT,opportunity young people place origin,opportunity people place origin,1
"However , it could also be that older sisters migrate because they feel more pressure to marry .",feel pressure marry,feel pressure marry,PROMOTE,be older sisters migrate,be older sister migrate,1
This differentiation by level of remittances is helpful for one who might be interested to know whether the effect of remittances on labour markets also depends on the,remittances labour markets depends,remittance labour market depends,PROMOTE,remittances labour markets depends,remittance labour market depends,1
"The theory considers that , assuming that leisure is a normal good , an increase in non-labour income reduces the likelihood that a person enters the labour force because workers with more non-labour income consume more leisure .",workers more non-labour income consume more leisure,worker more income consume more leisure,INHIBIT,person enters labour force,person enters force,1
"However , an important implication of migration and receiving remittances , as a non-labour source of revenue , could be the generation of a state of dependence , thereby reducing the labour market participation of the recipient household as well as its production effort ( Harris - Todaro , 1970 ; Borjas , 2006 ; Lassailly and Jacob , 2006 ; Jean and Jim é nez , 2007 ; Berker , 2011 ; Schumann , 2013 ; Ruhs and Vargas-Silva , 2014 ) .",implication migration receiving remittances,implication migration receiving remittance,INHIBIT,labour market participation recipient household,labour market participation recipient household,1
"According to Ben Mim and Mabrouk ( 2011 ) , remittances can also create negatives incentives for the education of children , because the parental absence can have a negative impact on the school performances of children .",parental have school performances children,have school performance child,INHIBIT,remittances incentives education children,remittance incentive education child,1
"The reason is related to the fact that because workers want to consume more leisure as non-labour income increases , a larger inducement will be required to convince a wealthier person to enter the labour market .",workers want more leisure non-labour income larger inducement be required convince wealthier person,worker want more leisure income larger inducement be required convince wealthier person,PROMOTE,workers want more leisure non-labour income larger inducement be required convince wealthier person,worker want more leisure income larger inducement be required convince wealthier person,1
"In fact , rural-urban migration and agricultural performance are tied together because ru - ral workers compare their income with what they could obtain if they migrated to the cities .",ru ral workers compare income obtain migrated cities,ru worker compare income obtain migrated city,PROMOTE,rural-urban migration agricultural performance are tied,migration performance are tied,1
"According to Binswanger and Pingali ( 1998 ) , tractors have done little to increase agricultural output in SSA-countries because farming systems require varied types of op - erations according to the variety of crops produced .",farming systems require varied op,farming system require op,PROMOTE,tractors have done little agricultural output SSA-countries,tractor have done output ssa-countries,1
Migration by family members allows the household to diversify its income sources ; they will be obtained in markets whose risks and rewards are lowly correlated .,Migration family members,migration family member,PROMOTE,household diversify income sources,household diversify income source,1
A focus on the precise circumstances and transformations occurring in the last thirty years at either end of the migratory flow is necessary to understand migration dynamics .,focus precise circumstances transformations occurring end,focus circumstance transformation occurring end,PROMOTE,understand migration dynamics,understand migration dynamic,1
"Additionally , Rosenfeld and Tienda ( 1999 ) write “ network hiring lowers employer ’s cost of recruiting and provides employers with some insurance that the new employees will not shirk their duties , because a current worker has vouched for them .",worker has vouched,worker ha vouched,INHIBIT,new employees shirk duties,employee shirk duty,1
"At the same time , this functioning of the labor market then limits both a migrant ’s chances of getting jobs outside the migrant network and socio-economic mobility ( Portes and Rumbaut 2001 ; Reyneri and Fullin 2011 ) .",functioning labor market,functioning labor market,INHIBIT,migrant chances getting jobs,chance getting job,1
"By the same token , a change in the direction of the mechanisms involved could undermine further development of the migration stream ; for instance , as the consequence of a drop in labor demand in Europe or of an improvement in economic security at origin .",direction mechanisms involved,direction mechanism involved,INHIBIT,development migration stream,development migration stream,1
"The government progressively decreased its support of farmers ’ incomes by deregulating the markets , privatizing agricultural organizations , and limiting government policies such as buying groundnut at a guaranteed price .",government policies such buying groundnut guaranteed,government policy buying groundnut,PROMOTE,support farmers incomes,support farmer income,1
"In this context , household allocation of labor discourages migration for women , as the cost of staying abroad is higher than remaining at home , and as it lowers the amount of remittances received by the household .",household allocation labor,household allocation labor,INHIBIT,remittances received household,remittance received household,1
"Gender is another decisive factor , and gendered social and family hierarchies severely restrict Senegalese women ’s capability to migrate abroad independently .",gendered social family hierarchies,gendered family hierarchy,INHIBIT,Senegalese women capability migrate,woman capability migrate,1
Employers also favor this type of recruitment because it helps solve information asymmetry problems ( Munshi 2003 ; Granovetter 2005 ) .,helps solve information asymmetry problems,help solve information asymmetry problem,PROMOTE,Employers favor recruitment,employer favor recruitment,1
Maertens ( 2009 ) ﬁnds that wage employment in the horticultural export industries in Senegal creates investment spillovers and leads to higher input use and improved productivity in smallholder production for the local market .,wage employment horticultural export industries,wage employment export industry,PROMOTE,input improved productivity smallholder local market,input productivity smallholder market,1
"To estimate the ﬁrst stage model , we use a probit model for the dummy variable speciﬁcation and to - bit models for the other speciﬁcations because female wage income is zero for a substantial part of the observations .",female wage income is,wage income is,PROMOTE,probit model dummy variable specification bit models specifications,probit model dummy bit model,1
We ﬁnd that having more brothers decreases a child ’s own likelihood of being in school .,having more brothers,having more brother,INHIBIT,child own likelihood being school,child likelihood being school,1
"A 10 % increase in male wage income and in the share of male wage income in total income , increases the likelihood of primary school enrolment with 0.5 % points and 2 % point respec - tively , while this is 1.5 % points and 5.8 % points for female wage in - come .",share male wage income total income,share male wage income income,PROMOTE,likelihood primary school enrolment % points % point respec,likelihood school enrolment % point % point respec,1
"Off-farm wage employment , on the other hand , might con - tribute to female empowerment in the household because the in - come derived from wage is more directly attributable to women ’s own labour and because women directly receive the cash ( Zhang et al ., 2004 ; Maertens and Swinnen , 2012 ) .",women receive cash,woman receive cash,PROMOTE,Off-farm wage employment hand con tribute female empowerment household,wage employment hand con tribute female empowerment household,1
"Off-farm wage employment , on the other hand , might con - tribute to female empowerment in the household because the in - come derived from wage is more directly attributable to women ’s own labour and because women directly receive the cash ( Zhang et al ., 2004 ; Maertens and Swinnen , 2012 ) .",come derived wage,come derived wage,PROMOTE,Off-farm wage employment hand con tribute female empowerment household,wage employment hand con tribute female empowerment household,1
"Likewise , a 10 % increase in female off-farm wage income and in the share of female wage income in total income , increases the likelihood of primary school enrolment with 1.5 % points and 5.8 % point respectively .",% female off-farm wage income,% wage income,PROMOTE,likelihood primary school enrolment,likelihood school enrolment,1
"A 10 % increase in male wage income and in the share of male wage income in total income , increases the likelihood of primary school enrolment with 0.5 % points and 2 % point respec - tively , while this is 1.5 % points and 5.8 % points for female wage in - come .",% male wage income,% male wage income,PROMOTE,likelihood primary school enrolment % points % point respec,likelihood school enrolment % point % point respec,1
"Since pfLf is increasing with h , women who initially have a smal - ler bargaining power will have a lower reservation wage because their marginal return to labour in household production is lower .",return labour household,return labour household,INHIBIT,pfLf is h women have smal ler bargaining power have reservation wage,pflf is h woman have ler bargaining power have reservation wage,1
"Likewise , a 10 % increase in female off-farm wage income and in the share of female wage income in total income , increases the likelihood of primary school enrolment with 1.5 % points and 5.8 % point respectively .",share female wage income total income,share wage income income,PROMOTE,likelihood primary school enrolment,likelihood school enrolment,1
Since T is decreasing with h a low bar - gaining power will increase the reservation wage and reduce wo - men ’s labour market participation .,bar gaining power,bar gaining power,PROMOTE,men labour market participation,men market participation,1
"Likewise , a decrease in wo - men ’s labour time in household production , will increase the mar - ginal return child labour ðpfLCÞ , leading to an increase in child labour ( Lc ) and a decrease in schooling ( S ) .",men labour household,men labour household,INHIBIT,ginal return child labour dpfLCTh,return child labour,1
"Latest sowing date was 28 , August , which caused spikelet sterility due to cold stress around ﬂowering .",cold stress flowering,cold stress,PROMOTE,sterility,sterility,2
"Soils in the delta are saline due to marine salt deposits in the subsoil ( Le Brusq , 1980 ) and potentially acid sul - fate soils are common .",marine salt deposits subsoil,marine salt deposit subsoil,PROMOTE,Soils delta,soil delta,1
"Irrigation problems were also cited by farmers , due to poor quality or badly maintained irrigation infrastructure ( broken channels , long water ways , bad ﬁeld leveling , lack of drainage facilities ) and due to low water level in river branches serving as water source or defec - tive water pumps .",water river branches serving,water river branch serving,INHIBIT,Irrigation problems,irrigation problem,1
"Plant available P , as estimated with Bray 1 , also increases upstream and average values range from 3.5 to 4.2 mg P kg soil − 1 , which overlaps with critical levels reported in the literature ( Sanchez , 1976 ) .",Plant available P,plant p,PROMOTE,upstream values P soil,value p soil,1
coexistence of rice and vegetable growing in the SRV leads to frequent shortage of labor,coexistence rice vegetable growing,coexistence rice growing,INHIBIT,frequent labor,labor,2
"released in 1997 , aims to reduce post-harvest labor bottlenecks and increase the quality of",released post-harvest labor bottlenecks,released labor bottleneck,PROMOTE,quality,quality,1
of irrigated rice cultivation which can ease sufficiently to accommodate double-cropping,irrigated rice cultivation,rice cultivation,PROMOTE,accommodate double-cropping,accommodate double-cropping,1
"During the Oral history group interview no 3 , it was said that the reason to why females had started to cultivate individual plots for rice production was because of the ever-increasing droughts which meant that the harvest was bad and thus they started cultivating their own plots in order to help cover the family needs .",ever-increasing droughts,drought,PROMOTE,reason females had started cultivate individual plots,reason female had started cultivate plot,1
"While Casamance relies on rain-fed rice due to its tropical climate , the River Delta Valley is today characterized by more advanced forms of agriculture including irrigation systems which were introduced not long after Senegal ’s independence from France in 1960 ( Devey , 2000 ) .",tropical climate,climate,PROMOTE,relies rain-fed rice,relies rice,1
"Some decades after that , conventional high-intensive farming techniques were also adopted , including fertilizer , pesticides , improved seed varieties , better infrastructure and formalizations of land rights ( Koopman , 2009 ; R é publique du Senegal , 2014 ) .",fertilizer,fertilizer,PROMOTE,seed varieties,seed variety,1
"To conclude , Senegal ’s gendered land distribution results in the fact that women have less capability to produce as much rice as men , due to their restricted financial capacities .",financial capacities,capacity,INHIBIT,much rice,rice,1
"Improved fertilizer management increased grain yield by 0.9 t ha ( cid :255 ) 1 , while the recommended weed management resulted in a yield increase of 1.0 t ha ( cid :255 ) 1 .",recommended weed management,weed management,PROMOTE,yield t ha cid,yield t ha,1
"The value / cost ratios were between 2.1 and 4.6 for the improved treatments , and improved soil fertility and weed management resulted in an increase in net revenues of 40–85 % compared to farmers ’ practice .",improved soil fertility,soil fertility,PROMOTE,net revenues %,revenue %,1
Production costs further increased in the2000WS due to the use of certified seeds and the fuel priceincrease .,certified seeds,seed,PROMOTE,Production costs,production cost,2
"We assumed , therefore , that initial soil P and K status , and soil salinity levels when irri-gation is well managed , were not hampering rice growth .",soil salinity,soil salinity,INHIBIT,rice growth,rice growth,3
"SRI has been documented to lead to increased yields , often by 50 % or more , while using 90 % less seed , 30-50 % less water and less agro-chemi - cals , and can be implemented in both irrigated and rainfed lowland systems .",water,water,INHIBIT,yields % more,yield % more,1
"Weeds , on the other hand , do cause major problems in rice cultivation , affecting rice yields ( Labrada 2003 ; Ongley 1996 ) .",Weeds,weed,PROMOTE,problems rice cultivation,problem rice cultivation,1
The added soil moisture creates the potential to lessen total water withdrawals .,added soil moisture,soil moisture,INHIBIT,total water withdrawals,water withdrawal,1
- Decrease of subsidies for mineral fertilizer decreases the use of mineral fertilizer,subsidies mineral fertilizer,subsidy fertilizer,PROMOTE,mineral fertilizer,fertilizer,1
"In any case , the simulation results indicate remarkable changes for the more direct indicators such as pesticide dispersion in the environment that can be reduced by around 66 % or cereal yield and production , as mentioned above , but also concerning more indirectly related indicators , such as the indicators for human capital that are improved by around 2 % only by the changes in rice production .",rice,rice,PROMOTE,indicators human capital,indicator capital,1
"And in addition to these three dimensions of food security , the local rice produced must be safe for health and in line with the population 's eating habits .",local rice,rice,PROMOTE,health,health,1
"Low air humidity increases salt uptake to the plant and enhances salinity stress ( Asch et al ., 1995 ; Lauter and Munns , 1987 ; Yeo et al ., 1985 ) .",air humidity,air humidity,INHIBIT,salinity stress,salinity stress,1
Floodwater salinity reduced rice yield relative to the control treatment regardless of timing of stress occur - rence and season .,Floodwater salinity,floodwater salinity,INHIBIT,rice yield,yield,1
"Thailand has been the main source of Senegal ’s rice , followed by India , Vietnam , Pakistan and Latin America ( Argentina , Brazil and Uruguay ) .",Thailand,thailand,PROMOTE,rice,rice,1
"There are some important technical efficiency determinants , including agricultural credit , gender , education , ethnicity , irrigation cost , rice variety , and land tenure system , which the Senegalese government should focus on to boost rice productivity .",education,education,PROMOTE,rice productivity,rice productivity,1
"Urea ( 46 % N ) , ammonium phosphate ( 18 % N and 20 % P ) , triple super phosphate ( 60 % P ) , and potassium chloride ( 47 % K ) were used as sources of nitrogen , phosphorus , and potassium .",triple super phosphate,phosphate,PROMOTE,nitrogen,nitrogen,2
Effect of nitrogen fertilizer on yield and nitrogen use efﬁciency of four,nitrogen fertilizer,nitrogen fertilizer,PROMOTE,efficiency,,1
The optimum N fertilizer rate of 120 kg N ha−1 shown under the CF during the HDS conﬁrms the nitrogen rate recommended to maximize rice productivity [ 39 ] .,nitrogen,nitrogen,PROMOTE,rice productivity,rice productivity,1
"In theory , crop diversification could increase and spread farmers ’ income , spread risks , and increase rural food security ( Gay and Dancette , 1995 ; PNUE , 2005 ) .",crop diversification,crop diversification,PROMOTE,rural food security,food security,1
Low profit No market Low yield High production cost Damage by insect / diseases / birds Tractor shortage Low rice quality Unavailable credit Soil salinity Water availability Lack of certified seeds Fertilizer availability Others Total,insect diseases,disease,INHIBIT,production cost,production cost,1
"The fertilizer rate F2 improved rice yield by 1.26 , 0.72 , and 1.36 tons ha−1 under S1 , S2 , and S3 , respectively .",fertilizer F2,fertilizer f2,PROMOTE,rice yield,yield,1
Kang et al. ( 2007 ) and Yang et al. ( 2008 ) indicated that salinity causes growth inhibition and yield decrease in rice due to biochemical and physiological changes induced by salt stress .,biochemical physiological induced salt stress,induced salt stress,INHIBIT,rice,rice,1
Restriction of paddy rice to soils of low inﬁltration rate is critical to reduce loss of water to inﬁltration .,paddy rice soils infiltration,rice soil,PROMOTE,water infiltration,water,1
"Since it was difficult in the framework of PAPRIZ , rice sales volume and sales channels ( the number of stores ) before and after the introduction of the rice grading machine was confirmed based on shipment data of the rice millers who produce high quality rice .",shipment rice millers,rice miller,PROMOTE,quality rice,quality rice,1
"Fertilizers are robustly found to be the single most important source of productivity , boosting both productivity and TE levels .",Fertilizers,fertilizer,PROMOTE,productivity TE,productivity te,2
"The GOANA and PNAR programs and the increased price of rice resulted in the 2008 farmland exploitation and cultivation-rights allotment project , in which the Peasant Organization of Village T played a central role .",rice,rice,PROMOTE,farmland exploitation,farmland exploitation,1
"The data from this study do not indicate that peasants in the Senegal River Valley would plant rice , even if the Senegalese government or international aid agencies promote land for rice cultivation and expand rice-paddy acreage .",Senegalese government,government,PROMOTE,land rice cultivation,land rice cultivation,1
"In seasons 1–3 , fertilizer alone signiﬁcantly increased yield , with no differences found between management systems .",fertilizer,fertilizer,PROMOTE,yield,yield,1
"Both fertilizer and straw application signiﬁcantly increased N , P and K uptake in SRI and RMP during this season ( Fig. 4 ) .",fertilizer,fertilizer,PROMOTE,N P K uptake,n p k uptake,1
"Further inland on the Bafing River , the Manantali dam generates electric power and guards against extreme floods .",dam,dam,PROMOTE,electric power,power,1
permanent water availability that allows farmers to devote more time to on-farm activities,permanent water availability,water availability,PROMOTE,farmers devote more on-farm,farmer devote more,1
SRV can improve their productivity and profitability by adopting improved technologies,adopting technologies,adopting technology,PROMOTE,profitability,profitability,1
ecological zones where farmers increase their labor effort during positive shocks,farmers,farmer,PROMOTE,labor,labor,1
"On the positive side , agribusinesses can create welfare impacts through employment creation and labor market participation , resulting in higher household income leading to reduced poverty and inequality , especially for the previously poorest households ( Van den Broeck et al. 2017 ; Van den Broeck and Maertens , 2017 ; Maertens et al. 2011 ) .",agribusinesses,agribusiness,PROMOTE,welfare,welfare,1
"In addition , this can lead to more sustainable farming systems which can meet future demands for food and reduce financial costs of gender inequalities generating win-win opportunities for all stakeholders involved ( FAO , 2011 ; AfDB , 2015 ; Quisumbing et al. 2014 ; The World Bank , 2007 ; The World Bank et al. 2009 ; Maertens and Swinnen , 2012 ; Lopez-Carlos and Zahidi , 2005 ) .",more sustainable farming systems,farming system,PROMOTE,financial gender inequalities win-win opportunities stakeholders,gender inequality opportunity stakeholder,1
